trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.015, 'e': 0.8215952138960798}",30,0,-99.56905471966186,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
170,False,"{'a': 0.015, 'e': 0.8300535352352221}",20,1,-21.02492195695521,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
171,False,"{'a': 0.015, 'e': 0.8383250980306985}",30,0,-130.96024599242986,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
172,False,"{'a': 0.015, 'e': 0.8464080412157756}",25,0,-130.8859780981516,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
173,False,"{'a': 0.015, 'e': 0.854300546162336}",20,0,-81.73265752697384,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
174,False,"{'a': 0.015, 'e': 0.8620008370900635}",20,0,-135.67266465474086,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
175,False,"{'a': 0.015, 'e': 0.8695071814659844}",20,0,-168.13256330852136,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
176,False,"{'a': 0.015, 'e': 0.8768178903942813}",25,0,-64.79615141308764,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
177,False,"{'a': 0.015, 'e': 0.8839313189962873}",25,0,-97.96667391099524,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
178,False,"{'a': 0.015, 'e': 0.8908458667805764}",20,0,-6.306995921685202,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.015, 'e': 0.8975599780030679}",20,0,-32.60916740080326,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.015, 'e': 0.904072142017061}",35,0,-139.70229878987251,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
181,False,"{'a': 0.015, 'e': 0.9103808936131264}",20,0,-73.12374570486755,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
182,False,"{'a': 0.015, 'e': 0.9164848133487693}",20,0,-119.36172885517664,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
183,False,"{'a': 0.015, 'e': 0.9223825278678001}",20,0,-163.2611721403325,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
184,False,"{'a': 0.015, 'e': 0.9280727102093326}",30,0,-143.75132814932934,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
185,False,"{'a': 0.015, 'e': 0.9335540801063454}",35,0,-68.5849620569777,"{0: 24, 1: 5, 2: 5, 3: 1, 4: 0}",0
186,False,"{'a': 0.015, 'e': 0.9388254042737362}",25,0,-19.674986619318556,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
187,False,"{'a': 0.015, 'e': 0.9438854966858051}",25,0,-133.97310724095615,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
188,False,"{'a': 0.015, 'e': 0.948733218843107}",20,0,-97.13971900374,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
189,False,"{'a': 0.015, 'e': 0.9533674800286075}",20,0,-140.65476197349662,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
190,False,"{'a': 0.015, 'e': 0.9577872375530904}",20,0,-147.23117280699503,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
191,False,"{'a': 0.015, 'e': 0.9619914969897583}",25,0,-96.95754929407302,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
192,False,"{'a': 0.015, 'e': 0.9659793123979747}",20,0,-160.18494359095908,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
193,False,"{'a': 0.015, 'e': 0.9697497865360963}",25,0,-92.61006161433438,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
194,False,"{'a': 0.015, 'e': 0.9733020710633485}",20,0,-66.08071242686532,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
195,False,"{'a': 0.015, 'e': 0.9766353667306988}",25,0,-171.29705397358572,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
196,False,"{'a': 0.015, 'e': 0.9797489235606842}",25,0,-74.63240911487632,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
197,False,"{'a': 0.015, 'e': 0.9826420410161534}",30,6,-120.40450407329696,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 2}",1
198,False,"{'a': 0.015, 'e': 0.9853140681578837}",20,0,-43.16193814998066,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
199,False,"{'a': 0.015, 'e': 0.9877644037910411}",20,0,-128.93439993282732,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
200,False,"{'a': 0.015, 'e': 0.9899924966004454}",20,0,-69.86009073316754,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
201,False,"{'a': 0.015, 'e': 0.9919978452746141}",35,0,-189.15231112909316,"{0: 21, 1: 4, 2: 5, 3: 3, 4: 2}",0
202,False,"{'a': 0.015, 'e': 0.9937799986185556}",30,0,-158.60384677664078,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
203,False,"{'a': 0.015, 'e': 0.9953385556552858}",20,0,-144.0500346994768,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
204,False,"{'a': 0.015, 'e': 0.9966731657160466}",25,0,-201.00515662459227,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
205,False,"{'a': 0.015, 'e': 0.9977835285192046}",25,0,-34.414108305613915,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
206,False,"{'a': 0.015, 'e': 0.9986693942378135}",20,0,-237.21347320548398,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
207,False,"{'a': 0.015, 'e': 0.999330563555824}",20,0,-86.77430431188053,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
208,False,"{'a': 0.015, 'e': 0.9997668877129283}",25,0,-109.6470826071369,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
209,False,"{'a': 0.015, 'e': 0.9999782685380324}",35,0,-239.81517892443907,"{0: 13, 1: 4, 2: 14, 3: 3, 4: 1}",0
210,False,"{'a': 0.015, 'e': 0.999964658471342}",25,0,-192.25863926778482,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
211,False,"{'a': 0.015, 'e': 0.9997260605750647}",25,3,-98.248182902986,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 1}",1
212,False,"{'a': 0.015, 'e': 0.9992625285327209}",20,0,-68.95147792884715,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
